City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Avera,US,2021-11-23 17:13:55,33.194,-82.5271,52.48,27,0,8.16
78,Namatanai,PG,2021-11-23 17:13:55,-3.6667,152.4333,79.27,84,56,8.05
79,Buinsk,RU,2021-11-23 17:13:56,54.95,48.2833,11.82,93,7,9.8
80,Punta Arenas,CL,2021-11-23 17:12:29,-53.15,-70.9167,53.71,62,40,25.32
81,Sarankhola,BD,2021-11-23 17:13:56,22.3082,89.7897,70.74,73,2,1.77
82,Vaini,TO,2021-11-23 17:13:56,-21.2,-175.2,69.96,100,40,0.0
83,Talnakh,RU,2021-11-23 17:13:57,69.4865,88.3972,9.43,90,98,11.95
84,Korcula,HR,2021-11-23 17:13:57,42.9622,17.1369,48.56,64,99,17.45
85,Okha,RU,2021-11-23 17:13:58,53.5739,142.9478,33.93,97,100,35.21
86,Sitka,US,2021-11-23 17:13:58,57.0531,-135.33,33.69,100,90,3.44
87,Adrar,MR,2021-11-23 17:13:58,20.5022,-10.0711,89.13,21,85,4.18
88,Broken Hill,AU,2021-11-23 17:13:59,-31.95,141.4333,71.64,60,100,7.02
89,Krasnoye,UA,2021-11-23 17:13:59,49.9145,24.6134,38.19,84,92,14.38
90,Nyurba,RU,2021-11-23 17:14:00,63.2842,118.3319,-25.55,99,7,3.36
91,Cherskiy,RU,2021-11-23 17:14:00,68.75,161.3,-33.74,99,37,4.79
92,Busselton,AU,2021-11-23 17:15:01,-33.65,115.3333,54.09,80,0,10.13
93,Ulaangom,MN,2021-11-23 17:15:01,49.9811,92.0667,11.21,88,99,3.2
94,Kaitangata,NZ,2021-11-23 17:15:01,-46.2817,169.8464,45.1,95,54,5.88
95,Kalachinsk,RU,2021-11-23 17:15:02,55.0529,74.5751,21.04,90,100,16.91
96,Quatre Cocos,MU,2021-11-23 17:15:02,-20.2078,57.7625,77.11,73,47,7.2
97,Nouadhibou,MR,2021-11-23 17:15:03,20.931,-17.0347,85.98,45,92,10.36
98,Moron,AR,2021-11-23 17:11:35,-34.6534,-58.6198,83.01,23,0,7.0
99,Marsa Matruh,EG,2021-11-23 17:15:04,31.3525,27.2453,66.97,48,98,6.91
100,Solnechnyy,RU,2021-11-23 17:15:04,50.7214,136.6319,12.81,96,100,6.17
101,Lima,PE,2021-11-23 17:12:26,-12.0432,-77.0282,70.05,64,40,11.5
102,Vostok,RU,2021-11-23 17:15:04,46.4856,135.8833,7.65,92,100,10.38
103,Ibb,YE,2021-11-23 17:12:43,13.9667,44.1833,62.53,65,62,1.63
104,Cape Town,ZA,2021-11-23 17:12:44,-33.9258,18.4232,70.12,61,62,21.09
105,Flinders,AU,2021-11-23 17:15:05,-34.5833,150.8552,66.2,89,100,1.01
106,Sioux Lookout,CA,2021-11-23 17:15:06,50.1001,-91.917,28.47,64,75,14.97
107,Sao Jose Da Coroa Grande,BR,2021-11-23 17:15:06,-8.8978,-35.1478,85.75,58,65,11.7
108,Jamestown,US,2021-11-23 17:12:46,42.097,-79.2353,35.19,92,90,5.99
109,Lebu,CL,2021-11-23 17:15:06,-37.6167,-73.65,61.03,68,0,19.13
110,Gamba,GA,2021-11-23 17:15:07,-2.65,10.0,75.87,83,100,2.8
111,Haines Junction,CA,2021-11-23 17:15:07,60.7522,-137.5108,-7.65,84,100,1.14
112,Atuona,PF,2021-11-23 17:15:08,-9.8,-139.0333,76.95,81,78,13.04
113,Maku,IR,2021-11-23 17:15:08,39.2911,44.4521,43.68,59,0,4.81
114,Arraial Do Cabo,BR,2021-11-23 17:14:43,-22.9661,-42.0278,78.66,65,0,13.8
115,Lasa,IT,2021-11-23 17:15:09,46.6166,10.7002,41.88,87,12,2.37
116,Severo-Kurilsk,RU,2021-11-23 17:15:09,50.6789,156.125,37.27,96,100,26.73
117,Beira,MZ,2021-11-23 17:15:10,-19.8436,34.8389,81.27,80,97,10.83
118,Havoysund,NO,2021-11-23 17:15:10,70.9963,24.6622,25.03,86,94,5.64
119,Eidfjord,NO,2021-11-23 17:15:11,60.4675,7.0719,46.51,99,100,8.1
120,Yantongshan,CN,2021-11-23 17:15:11,43.2919,126.0094,11.25,88,72,11.61
121,Payo,ID,2021-11-23 17:15:11,-3.7508,103.6372,73.81,96,100,1.32
122,Khatanga,RU,2021-11-23 17:15:12,71.9667,102.5,0.7,80,100,18.72
123,San Quintin,MX,2021-11-23 17:15:12,30.4833,-115.95,68.45,59,94,7.36
124,Nanortalik,GL,2021-11-23 17:15:13,60.1432,-45.2371,27.88,48,78,1.77
125,Paharpur,PK,2021-11-23 17:15:13,32.1038,70.9724,66.18,15,1,2.35
126,Meulaboh,ID,2021-11-23 17:15:14,4.1363,96.1285,76.12,87,100,7.07
127,Cabo San Lucas,MX,2021-11-23 17:15:14,22.8909,-109.9124,82.51,65,1,5.01
128,Khorixas,NA,2021-11-23 17:15:14,-20.3667,14.9667,79.95,21,0,21.88
129,Touros,BR,2021-11-23 17:15:15,-5.1989,-35.4608,86.9,62,56,15.28
130,Castro,BR,2021-11-23 17:15:07,-24.7911,-50.0119,84.38,35,10,5.66
131,Constitucion,CL,2021-11-23 17:15:16,-35.3333,-72.4167,65.64,69,13,11.63
132,Ribeira Grande,PT,2021-11-23 17:15:16,38.5167,-28.7,68.4,94,20,13.8
