City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
493,Morehead,37.2711,-87.1764,43.14,93,1,0.0,US,clear sky,2021-12-01 03:53:31
494,La Lima,15.4333,-87.9167,73.38,94,40,5.75,HN,scattered clouds,2021-12-01 03:53:31
495,Khandyga,62.6667,135.6,-11.16,97,99,3.58,RU,overcast clouds,2021-12-01 03:53:32
496,Aasiaat,68.7098,-52.8699,23.58,86,97,14.05,GL,overcast clouds,2021-12-01 03:53:32
497,Tatawin,32.9297,10.4518,49.08,49,0,3.87,TN,clear sky,2021-12-01 03:53:32
498,Mabaruma,8.2,-59.7833,74.93,94,100,3.6,GY,overcast clouds,2021-12-01 03:53:33
499,Fort Nelson,58.8053,-122.7002,-8.01,77,90,6.91,CA,light snow,2021-12-01 03:50:26
500,Wageningen,51.9667,5.6667,50.95,95,75,24.16,NL,light rain,2021-12-01 03:53:33
501,Faya,18.3851,42.4509,45.12,36,0,4.81,SA,clear sky,2021-12-01 03:50:07
502,Gwanda,-20.9333,29.0,72.7,44,5,6.11,ZW,clear sky,2021-12-01 03:53:34
503,Valdivia,-39.8142,-73.2459,44.69,98,23,1.9,CL,few clouds,2021-12-01 03:53:34
504,Boca Do Acre,-8.7522,-67.3978,72.52,99,100,1.74,BR,light rain,2021-12-01 03:53:34
505,Tobol,52.6844,62.5794,29.14,75,100,15.28,KZ,overcast clouds,2021-12-01 03:53:35
506,Tucuma,-0.1833,-50.05,77.77,90,68,5.7,BR,broken clouds,2021-12-01 03:53:35
507,Xining,36.6167,101.7667,29.34,33,1,0.81,CN,clear sky,2021-12-01 03:53:36
508,Bandarbeyla,9.4942,50.8122,76.32,62,42,15.46,SO,scattered clouds,2021-12-01 03:53:36
509,Neuquen,-38.9516,-68.0591,76.89,36,0,10.36,AR,clear sky,2021-12-01 03:53:37
510,Severo-Kurilsk,50.6789,156.125,35.51,98,100,18.39,RU,light rain,2021-12-01 03:53:37
